Name,Price,Fuel Type,Transmission,Kilometers Driven,Make Year,Owner,location,Year,Location
2018 Renault Kwid RXT 1.0 AMT,352000.0,Petrol,Automatic,18009,Nov 2018,3,Kaggadasapura Bengaluru Karnataka,2018,Kaggadasapura Bengaluru Karnataka
2013 Renault Duster 110 PS RXL ADVENTURE,323000.0,Diesel,Manual,106700,Jan 2013,3,Byraveshwaranagar Bengaluru,2013,Byraveshwaranagar Bengaluru
2018 Renault Captur RXL PETROL,665000.0,Petrol,Manual,42426,Jan 2018,1,Seshadripuram Bengaluru Karnataka,2018,Seshadripuram Bengaluru Karnataka
2018 Renault Kwid RXT 1.0 AMT,321000.0,Petrol,Automatic,49512,Mar 2018,2,RK Hegde Nagar Bengaluru Karnataka,2018,RK Hegde Nagar Bengaluru Karnataka
2022 Renault Kiger RXZ TURBO CVT DUAL TONE,860000.0,Petrol,Automatic,30407,May 2022,1,Gunjur Bengaluru,2022,Gunjur Bengaluru
2016 Renault Duster 110 PS RXL 4X2 AMT,474000.0,Diesel,Automatic,190942,May 2016,2,S.G. Palya Bengaluru Karnataka,2016,S.G. Palya Bengaluru Karnataka
2021 Renault Kiger RXT (O) MT,650000.0,Petrol,Manual,15250,Dec 2021,2,Nagasandra Bengaluru Karnataka,2021,Nagasandra Bengaluru Karnataka
2023 Renault Kiger RXT (O) AMT,749000.0,Petrol,Automatic,10754,Sep 2023,1,Gottigere Bengaluru Karnataka,2023,Gottigere Bengaluru Karnataka
2016 Renault Duster 110 PS RXL 4X2 AMT,758000.0,Diesel,Automatic,77068,May 2016,1,Yamare Village Bengaluru Karnataka,2016,Yamare Village Bengaluru Karnataka
2016 Renault Duster 110 PS RXZ 4X2 AMT DIESEL,740000.0,Diesel,Automatic,33517,Aug 2016,1,RT Nagar Bengaluru Karnataka,2016,RT Nagar Bengaluru Karnataka
2021 Renault Kiger RXZ TURBO CVT,816000.0,Petrol,Automatic,25332,Nov 2021,1,Panduranga Nagar Bengaluru Karnataka,2021,Panduranga Nagar Bengaluru Karnataka
2024 Renault Kiger RXT (O) TURBO CVT DUAL TONE,991000.0,Petrol,Automatic,10340,Feb 2024,1,Bellandur Bengaluru Karnataka,2024,Bellandur Bengaluru Karnataka
2018 Renault Duster RXS CVT,595000.0,Petrol,Automatic,800200,Jan 2018,2,Battarahalli Bengaluru Karnataka,2018,Battarahalli Bengaluru Karnataka
